id,name,field,old,new
usr_bf4ae5cffe25474bbdbe,Chirag Paswan - Accompany,designation,with CG Chirag Paswan,Accompanying guest of Chirag Paswan
usr_a13a3eef40c14665b4fd,Jishnu Dev Varma - Accompany,designation,with CG Jishnu Dev Varma,Accompanying guest of Jishnu Dev Varma
usr_f866ec94f9444f3d90a1,Ram Nath Kovind - Accompany,designation,with CG Ram Nath Kovind,Accompanying guest of Ram Nath Kovind
usr_5a2304ea28dc4fe9b7db,Ram Nath Kovind - Accompany #2,designation,with CG Ram Nath Kovind,Accompanying guest of Ram Nath Kovind
usr_d2b70dba45ca474d8a32,Sandra Boodhun,designation,Special Advisor to the President of the Central African Republic,Special Adviser to the President of the Central African Republic
usr_716583bd67d24acdbc21,Kailash Satyarthi,bio,"Shri Kailash Satyarthi — born Kailash Sharma on 11 January 1954 in Vidisha, Madhya Pradesh — is India's first natural-born Nobel Peace Laureate, sharing the 2014 prize with Malala Yousafzai. An engineer who walked away from the drawing board to walk into bonded-labour quarries, he founded Bachpan Bachao Andolan (1980), GoodWeave (1994), the Global March Against Child Labour (1998) and, most recently, the Satyarthi Movement for Global Compassion (2024). More than 138,000 children stand freed in his wake. He speaks softly, marches long, and calls compassion the oxygen of humanity.","An engineer who walked away from the drawing board to walk into bonded-labour quarries, he founded Bachpan Bachao Andolan (1980), GoodWeave (1994), the Global March Against Child Labour (1998) and, most recently, the Satyarthi Movement for Global Compassion (2024). More than 138,000 children stand freed in his wake. He speaks softly, marches long, and calls compassion the oxygen of humanity"
usr_716583bd67d24acdbc21,Kailash Satyarthi,honours,"Nobel Peace Prize 2014 (shared with Malala Yousafzai) — first natural-born Indian Nobel Peace Laureate; Robert F. Kennedy Human Rights Award (1995); Friedrich Ebert Stiftung Human Rights Award (1999); Wallenberg Medal, University of Michigan (2002); US State Department ""Heroes Acting to End Modern Day Slavery"" (2007); Gold Medal of the Italian Senate (2007); Alfonso Comín International Award (2008); Defenders of Democracy Award (2009); Wockhardt Foundation Lifetime Achievement Award (2019); Mother Teresa Memorial Award (2019); Harvard Humanitarian of the Year (2015)","Kennedy Human Rights Award (1995); Friedrich Ebert Stiftung Human Rights Award (1999); Wallenberg Medal, University of Michigan (2002); US State Department ""Heroes Acting to End Modern Day Slavery"" (2007); Gold Medal of the Italian Senate (2007); Alfonso Comín International Award (2008); Defenders of Democracy Award (2009); Wockhardt Foundation Lifetime Achievement Award (2019); Mother Teresa Memorial Award (2019); Harvard Humanitarian of the Year (2015)"
usr_716583bd67d24acdbc21,Kailash Satyarthi,qualifications,"B.E. (Electrical Engineering), SATI Vidisha / University of Bhopal; M.E. (High- Voltage Engineering); PG Diploma (Transformer Design); multiple honorary doctorates (Alliance University 2014, Amity 2015/2018, Lynchburg College 2016 DHL, WBNUJS 2016 LLD, Universidad Pablo de Olavide Spain 2017, Amrita University 2022)","B. E. (Electrical Engineering), SATI Vidisha / University of Bhopal; M. E. (High- Voltage Engineering); PG Diploma (Transformer Design); multiple honorary doctorates (Alliance University 2014, Amity 2015/2018, Lynchburg College 2016 DHL, WBNUJS 2016 LLD, Universidad Pablo de Olavide Spain 2017, Amrita University 2022)"
usr_8c6afb30f49a499db723,Mohan Munasinghe,designation,"Founder Chairman, Munasinghe Institute for Development (MIND) and the MIND Group, Colombo, Sri Lanka. Concurrent roles: Chairman, Climate and Conservation Consortium (CCC); Distinguished Guest Professor, Peking University; Honorary Senior Advisor to the Government of Sri Lanka; former Chairman, Presidential Expert Commission on Sustainable Sri Lanka 2030 Vision","Founder Chairman, Munasinghe Institute for Development (MIND) and the MIND Group, Colombo, Sri Lanka. Concurrent roles: Chairman, Climate and Conservation Consortium (CCC); Distinguished Guest Professor, Peking University; Honorary Senior Adviser to the Government of Sri Lanka; former Chairman, Presidential Expert Commission on Sustainable Sri Lanka 2030 Vision"
usr_8c6afb30f49a499db723,Mohan Munasinghe,bio,"Born in Colombo in July 1945 to an engineer-father and a literary mother, Professor Mohan Munasinghe climbed Cambridge, MIT, McGill and Concordia before returning to counsel presidents and the World Bank. As Vice-Chair of the IPCC's Fourth Assessment, he shared the 2007 Nobel Peace Prize with the IPCC and Al Gore; the 2021 Blue Planet Prize followed for his Sustainomics framework. Officer of the Legion of Honour, Deshamanya of Sri Lanka, founder of the MIND institute in Colombo, he champions peace as inseparable from sustainable development — convening climate, equity and dignity under one patient sky.","Born in Colombo in July 1945 to an engineer-father and a literary mother, Professor Mohan Munasinghe climbed Cambridge, MIT, McGill and Concordia before returning to counsel presidents and the World Bank. As Vice-Chair of the IPCC's Fourth Assessment, he shared the 2007 Nobel Peace Prize with the IPCC and Al Gore; the 2021 Blue Planet Prize followed for his Sustainomics framework. Officer of the Legion of Honour, Deshamanya of Sri Lanka, founder of the MIND institute in Colombo, he champions peace as inseparable from sustainable development — convening climate, equity and dignity under one patient sky"
usr_8c6afb30f49a499db723,Mohan Munasinghe,honours,"Independently confirmed: 2007 Nobel Peace Prize — shared as Vice-Chair of the IPCC. The prize was awarded jointly to the Intergovernmental Panel on Climate Change (IPCC) and Albert Arnold (Al) Gore Jr.; Professor Munasinghe's laureateship derives from his service as Vice-Chair of the IPCC during the Fourth Assessment Report (AR4) cycle (Nobel committee records). 2021 Blue Planet Prize Laureate (Asahi Glass Foundation). Officer of the French Legion of Honour (2017). Deshamanya — highest Sri Lankan national civil honour. Anita Garibaldi Gold Medal (Brazilian government, 2007). Zayed International Prize for Environment (2006, joint, for the Millennium Ecosystem Assessment). Eminence in Engineering Award, Institute of Engineers Sri Lanka (2014). Adelman-Frankel Prize, USAEE (2003). Sinha Gold Medal, Lions Clubs International Sri Lanka (1985). Sarvodaya Award for Humanity, Peace and Development (2007). Medal of Honour for Exceptional Contributions to Sustainability and Peace — World Peace and Diplomacy organisation. Not independently verified: a Padma Shri has been referenced in earlier internal notes but a direct search of padmaawards.gov.in did not return a matching record; his own Wikipedia entry does not list it. PADMA SHRI STATUS UNVERIFIED pending direct confirmation from the Ministry of Home Affairs dashboard or a PIB gazette notification; should NOT be published without it. ""Vishwa Prasadini"" also not explicitly documented in reviewed biographies and likewise unverified. Deshamanya is firmly confirmed. Organisational footprint: Founder Chairman, Munasinghe Institute for Development (MIND) — private non-profit think tank, Colombo; Chairman, MIND Group; Chairman, Climate and Conservation Consortium (CCC); Director, Eureka Group; Advisor, Planetiers. Former: Board Member, Green Cross International; Member, The Club of Rome; Director-General, Sustainable Consumption Institute, University of Manchester; Chancellor, International Water Academy, Oslo; Vice-Chair, IPCC during AR4; Senior Manager / Advisor, World Bank (until 2002)","2007 Nobel Peace Prize contributor through his service as Vice-Chair of the Intergovernmental Panel on Climate Change during the Fourth Assessment Report cycle; 2021 Blue Planet Prize Laureate; Officer of the French Legion of Honour (2017); Deshamanya, Sri Lanka."
usr_8c6afb30f49a499db723,Mohan Munasinghe,qualifications,"Correction to earlier register brief — PhD is from McGill, NOT MIT: B.A. (Hons.) Engineering, University of Cambridge (1967); M.A. Cambridge (conferred subsequently); S.M. and Professional Engineer (PE), Electrical Engineering, Massachusetts Institute of Technology (MIT), 1970; PhD in Solid State Physics, McGill University, Montreal (1973); M.A. in Development Economics, Concordia University, Canada (1975); multiple honorary doctorates (honoris causa), including Independent University of Bangladesh (2005)","B.A. (Hons.) Engineering, University of Cambridge; S.M. and Professional Engineer (PE), Electrical Engineering, Massachusetts Institute of Technology; PhD in Solid State Physics, McGill University; M.A. in Development Economics, Concordia University."
usr_5f35fdb55e4d4d6cbcca,Ramdas Athawale,designation,"Union Minister of State for Social Justice and Empowerment, Government of India, Narendra Modi 3.0 Cabinet (continuing since June 2024). Concurrently Member of Parliament (Rajya Sabha), Maharashtra; Founder-President, Republican Party of India (Athawale) — RPI(A), since 1999","Union Minister of State for Social Justice and Empowerment, Government of India, Narendra Modi 3. 0 Cabinet (continuing since June 2024). Concurrently Member of Parliament (Rajya Sabha), Maharashtra; Founder-President, Republican Party of India (Athawale) — RPI(A), since 1999"
usr_5f35fdb55e4d4d6cbcca,Ramdas Athawale,bio,"Hon'ble Shri Ramdas Bandu Athawale — born 25 December 1959 in Agalgaon, Sangli — is Dalit Maharashtra's most visible political couplet-maker. Founder-President of the Republican Party of India (Athawale) since 1999, Rajya Sabha MP since 2014 (re-elected unopposed 2020), and continuously Union Minister of State for Social Justice and Empowerment since 2016 through Modi 3.0, he is Marathi poet, Ambedkarite, Buddhist and film actor rolled into one. His rhyming Hindi verses (""Modi hai toh mumkin hai""; ""Go Corona Go"") sit beside a serious record on reservations and Scheduled-Caste welfare — a politician who legislates in prose and campaigns in rhyme. डू","Hon'ble Shri Ramdas Bandu Athawale — born 25 December 1959 in Agalgaon, Sangli — is Dalit Maharashtra's most visible political couplet-maker. Founder-President of the Republican Party of India (Athawale) since 1999, Rajya Sabha MP since 2014 (re-elected unopposed 2020), and continuously Union Minister of State for Social Justice and Empowerment since 2016 through Modi 3. 0, he is Marathi poet, Ambedkarite, Buddhist and film actor rolled into one. His rhyming Hindi verses (""Modi hai toh mumkin hai""; ""Go Corona Go"") sit beside a serious record on reservations and Scheduled-Caste welfare — a politician who legislates in prose and campaigns in rhyme. डू"
